Place_Id,Place_Name,City,Coordinate
1,Monumen Nasional,Jakarta,"{'lat': -6.1753924, 'lng': 106.8271528}"
2,Kota Tua,Jakarta,"{'lat': -6.137644799999999, 'lng': 106.8171245}"
3,Jembatan Kota Intan,Jakarta,"{'lat': -6.1314572, 'lng': 106.8106169}"
4,Museum Fatahillah,Jakarta,"{'lat': -6.136448899999999, 'lng': 106.8130661}"
5,Museum Bank Indonesia,Jakarta,"{'lat': -6.137127, 'lng': 106.813005}"
6,Museum Taman Prasasti,Jakarta,"{'lat': -6.172224099999998, 'lng': 106.8189695}"
7,Museum Wayang,Jakarta,"{'lat': -6.1349072, 'lng': 106.8124452}"
8,Museum Nasional,Jakarta,"{'lat': -6.176402099999999, 'lng': 106.8215901}"
9,Setu Babakan,Jakarta,"{'lat': -6.341666699999999, 'lng': 106.8238889}"
10,Istana Negara Republik Indonesia,Jakarta,"{'lat': -6.168069000000001, 'lng': 106.8239727}"
11,Museum Macan (Modern and Contemporary Art in Nusantara),Jakarta,"{'lat': -6.190942, 'lng': 106.767622}"
12,Galeri Nasional Indonesia,Jakarta,"{'lat': -6.178548200000001, 'lng': 106.8327716}"
13,Museum Bahari Jakarta,Jakarta,"{'lat': -6.1269553, 'lng': 106.8085899}"
14,Museum Seni Rupa dan Kramik,Jakarta,"{'lat': -6.1342598, 'lng': 106.814552}"
15,Monumen Selamat Datang,Jakarta,"{'lat': -6.194997799999999, 'lng': 106.8230496}"
16,Taman Ismail Marzuki,Jakarta,"{'lat': -6.1891586, 'lng': 106.8397738}"
17,Galeri Indonesia Kaya,Jakarta,"{'lat': -6.1948499, 'lng': 106.8200607}"
18,Museum Joang 45,Jakarta,"{'lat': -6.186183799999998, 'lng': 106.8364761}"
19,Kampung Cina,Jakarta,"{'lat': -6.3651357, 'lng': 106.7617984}"
20,Rumah Sipitung,Jakarta,"{'lat': -6.10016, 'lng': 106.96057}"
21,Museum Sumpah Pemuda,Jakarta,"{'lat': -6.183838799999999, 'lng': 106.8430507}"
22,Museum Tekstil,Jakarta,"{'lat': -6.187963400000002, 'lng': 106.8096081}"
23,Tugu Proklamasi,Jakarta,"{'lat': -6.2030468, 'lng': 106.8466623}"
24,Museum Kebangkitan Nasional,Jakarta,"{'lat': -6.178352, 'lng': 106.838094}"
25,Museum Sasmita Loka Ahmad Yani,Jakarta,"{'lat': -6.204630300000001, 'lng': 106.8365324}"
26,Museum Basoeki Abdullah,Jakarta,"{'lat': -6.289788499999998, 'lng': 106.7932681}"
27,Museum Layang-layang,Jakarta,"{'lat': -6.3080282, 'lng': 106.790548}"
28,Freedom Library,Jakarta,"{'lat': -6.202248200000001, 'lng': 106.8451968}"
29,Perpustakaan Nasional,Jakarta,"{'lat': -6.181291799999999, 'lng': 106.8268717}"
30,Museum Perangko,Jakarta,"{'lat': -6.304184100000001, 'lng': 106.9017725}"
31,Museum Tengah Kebun,Jakarta,"{'lat': -6.267513, 'lng': 106.824107}"
32,Museum Satria Mandala,Jakarta,"{'lat': -6.231698499999999, 'lng': 106.8185425}"
33,Keraton Yogyakarta,Yogyakarta,"{'lat': -7.8052845, 'lng': 110.3642031}"
34,Museum Benteng Vredeburg Yogyakarta,Yogyakarta,"{'lat': -7.800201599999999, 'lng': 110.3663044}"
35,De Mata Museum Jogja,Yogyakarta,"{'lat': -7.816315599999999, 'lng': 110.3871442}"
36,Monumen Yogya Kembali,Yogyakarta,"{'lat': -7.7495904, 'lng': 110.3696068}"
37,Kampung Wisata Kadipaten,Yogyakarta,"{'lat': -7.806093000000001, 'lng': 110.35831}"
38,Taman Budaya Yogyakarta,Yogyakarta,"{'lat': -7.8001041, 'lng': 110.3676579}"
39,Kampung Wisata Sosro Menduran,Yogyakarta,"{'lat': -7.792189999999999, 'lng': 110.362151}"
40,Monumen Batik Yogyakarta,Yogyakarta,"{'lat': -7.8011159, 'lng': 110.3646172}"
41,Tebing Breksi,Yogyakarta,"{'lat': -7.781571400000001, 'lng': 110.5045827}"
42,Candi Donotirto,Yogyakarta,"{'lat': -7.795561299999998, 'lng': 110.3612095}"
43,Bangsal Pagelaran,Yogyakarta,"{'lat': -7.805284299999999, 'lng': 110.3642137}"
44,Gedung Agung Yogyakarta,Yogyakarta,"{'lat': -7.800150599999999, 'lng': 110.3637507}"
45,Monumen Sanapati,Yogyakarta,"{'lat': -7.788172800000001, 'lng': 110.3715403}"
46,Museum Sonobudoyo Unit I,Yogyakarta,"{'lat': -7.8024499, 'lng': 110.3639555}"
47,Lava Bantal,Yogyakarta,"{'lat': -7.808151800000001, 'lng': 110.4595183}"
48,Bukit Panguk Kediwung,Yogyakarta,"{'lat': -7.9583695, 'lng': 110.4407622}"
49,Candi Prambanan,Yogyakarta,"{'lat': -7.752020600000001, 'lng': 110.4914674}"
50,Watu Goyang,Yogyakarta,"{'lat': -7.9274086, 'lng': 110.4120586}"
51,Kampung Wisata Rejowinangun,Yogyakarta,"{'lat': -7.8152776, 'lng': 110.3988359}"
52,Kauman Pakualaman Yogyakarta,Yogyakarta,"{'lat': -7.801034700000001, 'lng': 110.3751922}"
53,Alun-alun Utara Keraton Yogyakarta,Yogyakarta,"{'lat': -7.803897499999998, 'lng': 110.3644232}"
54,Bentara Budaya Yogyakarta (BBY),Yogyakarta,"{'lat': -7.7857242, 'lng': 110.3746954}"
55,Wisata Kraton Jogja,Yogyakarta,"{'lat': -7.806753499999999, 'lng': 110.3636659}"
56,Kampung Wisata Dipowinatan,Yogyakarta,"{'lat': -7.810552899999999, 'lng': 110.3704987}"
57,Candi Borobudur,Yogyakarta,"{'lat': -7.6078738, 'lng': 110.2037513}"
58,Candi Ijo,Yogyakarta,"{'lat': -7.783827600000001, 'lng': 110.5118987}"
59,Museum Ullen Sentalu,Yogyakarta,"{'lat': -7.5978656, 'lng': 110.4233959}"
60,Museum Gunung Merapi,Yogyakarta,"{'lat': -7.615927200000001, 'lng': 110.4243329}"
61,Candi Ratu Boko,Yogyakarta,"{'lat': -7.7705416, 'lng': 110.4894158}"
62,Candi Sewu,Yogyakarta,"{'lat': -7.7439217, 'lng': 110.4929095}"
63,Jalan Braga,Bandung,"{'lat': -6.9150534, 'lng': 107.6089842}"
64,Gedung Sate,Bandung,"{'lat': -6.9024812, 'lng': 107.61881}"
65,Museum Geologi Bandung,Bandung,"{'lat': -6.900716200000001, 'lng': 107.6214553}"
66,Museum Konferensi Asia Afrika,Bandung,"{'lat': -6.921109200000001, 'lng': 107.609597}"
67,Museum Sri Baduga,Bandung,"{'lat': -6.9375748, 'lng': 107.603775}"
68,Amazing Art World,Bandung,"{'lat': -6.8516591, 'lng': 107.5955534}"
69,Kampung Korea Bandung,Bandung,"{'lat': -6.9154546, 'lng': 107.640769}"
70,Museum Barli,Bandung,"{'lat': -6.878238699999999, 'lng': 107.5875349}"
71,Monumen Bandung Lautan Api,Bandung,"{'lat': -6.9338497, 'lng': 107.604925}"
72,Museum Gedung Sate,Bandung,"{'lat': -6.902637899999999, 'lng': 107.619169}"
73,Monumen Perjuangan Rakyat Jawa Barat,Bandung,"{'lat': -6.8934327, 'lng': 107.6185513}"
74,Museum Pos Indonesia,Bandung,"{'lat': -6.902012999999998, 'lng': 107.6197787}"
75,Museum Mandala Wangsit Siliwangi,Bandung,"{'lat': -6.9173405, 'lng': 107.6112627}"
76,Taman Budaya Jawa Barat,Bandung,"{'lat': -6.870099, 'lng': 107.6164386}"
77,Taman Sejarah Bandung,Bandung,"{'lat': -6.9103086, 'lng': 107.6098619}"
78,Roemah Seni Sarasvati,Bandung,"{'lat': -6.9204173, 'lng': 107.5996425}"
79,Museum Pendidikan Nasional,Bandung,"{'lat': -6.859747400000001, 'lng': 107.5941693}"
80,Taman Film,Bandung,"{'lat': -6.8986869, 'lng': 107.6077451}"
81,Museum Nike Ardilla,Bandung,"{'lat': -6.9406015, 'lng': 107.6725445}"
82,Saung Angklung Mang Udjo,Bandung,"{'lat': -6.897136199999999, 'lng': 107.6558466}"
83,Bandros City Tour,Bandung,"{'lat': -6.922081599999999, 'lng': 107.6073182}"
84,Kyotoku Floating Market,Bandung,"{'lat': -6.819874999999999, 'lng': 107.618707}"
85,Candi Gedong Songo,Semarang,"{'lat': -7.209886700000002, 'lng': 110.3421119}"
86,Lawang Sewu,Semarang,"{'lat': -6.9839099, 'lng': 110.4104342}"
87,Sam Poo Kong Temple,Semarang,"{'lat': -6.996236599999999, 'lng': 110.398122}"
88,Kampoeng Djadhoel Semarang,Semarang,"{'lat': -6.968773100000001, 'lng': 110.4319505}"
89,Pura Giri Natha,Semarang,"{'lat': -6.998475900000001, 'lng': 110.4106468}"
90,Old City 3D Trick Art Museum,Semarang,"{'lat': -6.968406400000001, 'lng': 110.4261995}"
91,Semarang Contemporary Art Gallery,Semarang,"{'lat': -6.967499999999999, 'lng': 110.4282}"
92,Monumen Palagan Ambarawa,Semarang,"{'lat': -7.259886099999998, 'lng': 110.4025602}"
93,Benteng Pendem,Semarang,"{'lat': -7.2706462, 'lng': 110.4103291}"
94,Museum Kereta Ambarawa,Semarang,"{'lat': -7.264598899999997, 'lng': 110.4046017}"
95,Kota Lama Semarang,Semarang,"{'lat': -6.9681399, 'lng': 110.4278611}"
96,Semarang Chinatown,Semarang,"{'lat': -6.974992299999999, 'lng': 110.424954}"
97,Tugu Muda Semarang,Semarang,"{'lat': -6.9843485, 'lng': 110.4093207}"
98,Kampung Tematik Jawi,Semarang,"{'lat': -7.029097399999999, 'lng': 110.3775382}"
99,Kampung Batik Gedong Semarang,Semarang,"{'lat': -6.968882100000001, 'lng': 110.4318692}"
100,Monumen Kapal Selam,Surabaya,"{'lat': -7.2654304, 'lng': 112.7503052}"
101,Rumah Batik,Surabaya,"{'lat': -7.278735999999999, 'lng': 112.718453}"
102,Museum TNI AL Loka Jala Crana,Surabaya,"{'lat': -7.227185, 'lng': 112.718997}"
103,Jembatan Merah,Surabaya,"{'lat': -7.2367447, 'lng': 112.7383009}"
104,Museum De Javasche Bank,Surabaya,"{'lat': -7.2353939, 'lng': 112.7367646}"
105,Keraton Surabaya,Surabaya,"{'lat': -7.256755299999998, 'lng': 112.7942203}"
106,Klenteng Sanggar Agung,Surabaya,"{'lat': -7.246944, 'lng': 112.802222}"
107,Museum Sepuluh Nopember Kota Surabaya,Surabaya,"{'lat': -7.245436900000001, 'lng': 112.7378985}"
108,Monumen Tugu Pahlawan,Surabaya,"{'lat': -7.246925999999999, 'lng': 112.73781}"
109,Surabaya Museum (Gedung Siola),Surabaya,"{'lat': -7.256297200000001, 'lng': 112.7379955}"
110,Museum Kesehatan Dr. Adhyatma,Surabaya,"{'lat': -7.240327999999999, 'lng': 112.731431}"
111,Monumen Jalesveva Jayamahe,Surabaya,"{'lat': -7.195474799999999, 'lng': 112.7395206}"
112,Patung Sura dan Buaya,Surabaya,"{'lat': -7.296049199999999, 'lng': 112.7387012}"
113,Balai Kota Surabaya,Surabaya,"{'lat': -7.2592948, 'lng': 112.7470512}"
114,Patung Buddha Empat Rupa,Surabaya,"{'lat': -7.2472841, 'lng': 112.8010814}"
115,Monumen Bambu Runcing Surabaya,Surabaya,"{'lat': -7.267775500000001, 'lng': 112.7443898}"
116,House of Sampoerna,Surabaya,"{'lat': -7.230817300000001, 'lng': 112.7342344}"
117,Museum Mpu Tantular,Surabaya,"{'lat': -7.4338593, 'lng': 112.7199058}"
