Place_Id,Place_Name,City,Coordinate
1,Monumen Kapal Selam,Surabaya,"{'lat': -7.2654304, 'lng': 112.7503052}"
2,Jembatan Merah,Surabaya,"{'lat': -7.2367447, 'lng': 112.7383009}"
3,Museum De Javasche Bank,Surabaya,"{'lat': -7.2353939, 'lng': 112.7367646}"
4,Klenteng Sanggar Agung,Surabaya,"{'lat': -7.246944, 'lng': 112.802222}"
5,Monumen Tugu Pahlawan,Surabaya,"{'lat': -7.246925999999999, 'lng': 112.73781}"
6,Monumen Jalesveva Jayamahe,Surabaya,"{'lat': -7.195474799999999, 'lng': 112.7395206}"
7,Patung Sura dan Buaya,Surabaya,"{'lat': -7.296049199999999, 'lng': 112.7387012}"
8,Monumen Bambu Runcing Surabaya,Surabaya,"{'lat': -7.267775500000001, 'lng': 112.7443898}"
9,Museum Mpu Tantular,Sidoarjo,"{'lat': -7.4333832, 'lng': 112.7198449}"
10,Candi Pari,Sidoarjo,"{'lat': -7.5161304, 'lng': 112.6833493}"
11,Candi Dermo,Sidoarjo,"{'lat': -7.4076296, 'lng': 112.6199648}"
12,Monumen Jayandaru,Sidoarjo,"{'lat': -7.4462862, 'lng': 112.7184411}"
13,Candi Sumur,Sidoarjo,"{'lat': -7.5171596, 'lng': 112.6829219}"
14,Candi Medalem,Sidoarjo,"{'lat': -7.4734051, 'lng': 112.657102}"
15,Situs Wonokoyo,Sidoarjo,"{'lat': -7.4000382, 'lng': 112.6981846}"
16,Rumah Budaya Sidoarjo,Sidoarjo,"{'lat': -7.4563579, 'lng': 112.7211891}"
17,Candi Brahu,Mojokerto,"{'lat': -7.5429412, 'lng': 112.3744455}"
18,Candi Tikus,Mojokerto,"{'lat': -7.571797, 'lng': 112.4035317}"
19,Museum Majapahit Trowulan,Mojokerto,"{'lat': -7.5599311, 'lng': 112.380624}"
20,Candi Bajang Ratu,Mojokerto,"{'lat': -7.5677157, 'lng': 112.398754}"
21,Museum Gubug Wayang Mojokerto,Mojokerto,"{'lat': -7.4657004, 'lng': 112.4301962}"
22,Gapura Wringin Lawang,Mojokerto,"{'lat': -7.541859, 'lng': 112.3909322}"
23,Pendopo Agung Trowulan,Mojokerto,"{'lat': -7.5663119, 'lng': 112.3799457}"
24,Kolam Segaran,Mojokerto,"{'lat': -7.5580556, 'lng': 112.3827778}"
25,Candi Badut,Malang,"{'lat': -7.9577761, 'lng': 112.5986081}"
26,Candi Singosari,Malang,"{'lat': -7.8877616, 'lng': 112.6638979}"
27,Candi Jago,Malang,"{'lat': -8.0057849, 'lng': 112.7640922}"
28,Museum Brawijaya,Malang,"{'lat': -7.9721325, 'lng': 112.621209}"
29,Museum Mpu Purwa,Malang,"{'lat': -7.9403907, 'lng': 112.6208237}"
30,Tugu Malang,Malang,"{'lat': -7.9771284, 'lng': 112.6340632}"
31,Museum Angkut,Malang,"{'lat': -7.8790652, 'lng': 112.5187151}"
32,Klenteng Eng An Kiong,Malang,"{'lat': -7.9872832, 'lng': 112.6358334}"
